album_id,album_url,album_title,event_name,event_year,photo_count,last_processed_at,notes
72157657961667481,https://www.flickr.com/photos/sitcon/albums/72157657961667481,SITCON 2016,,,752,,
72157663725215980,https://www.flickr.com/photos/sitcon/albums/72157663725215980,2016 SITCON @ 生活 in Design,,,16,,
72157662600549262,https://www.flickr.com/photos/sitcon/albums/72157662600549262,2015 SITCON Hour of code 桃園場,,,52,,
72157662625622655,https://www.flickr.com/photos/sitcon/albums/72157662625622655,2015 SITCON Hour of code 台北場,,,99,,
72157661341439580,https://www.flickr.com/photos/sitcon/albums/72157661341439580,2015 SITCON Hackgen,,,52,,
72157661332519925,https://www.flickr.com/photos/sitcon/albums/72157661332519925,SITCON 紀錄組招募 參考,,,33,,
72157657188861641,https://www.flickr.com/photos/sitcon/albums/72157657188861641,SITCON Summer camp 2015 第二梯,,,396,,
72157656365705346,https://www.flickr.com/photos/sitcon/albums/72157656365705346,SITCON Summer camp 2015 第一梯,,,173,,
72157652701275895,https://www.flickr.com/photos/sitcon/albums/72157652701275895,SITCON 2015 by 海哥,,,325,,
72157649027037894,https://www.flickr.com/photos/sitcon/albums/72157649027037894,SITCON2015 幕後花絮,,,84,,
72157649003614643,https://www.flickr.com/photos/sitcon/albums/72157649003614643,SITCON 2015 ,,,448,,
72157649331487878,https://www.flickr.com/photos/sitcon/albums/72157649331487878,SITCON x 政大資科 Hour Of Code,,,52,,
72157649732220851,https://www.flickr.com/photos/sitcon/albums/72157649732220851,SITCON 定期聚系列 2014,,,29,,
72157703228634865,https://www.flickr.com/photos/sitcon/albums/72157703228634865,SITCON Summer camp 2014,,,1324,,
72157649732220831,https://www.flickr.com/photos/sitcon/albums/72157649732220831,SITCON Workshop 2014,,,24,,
72157645573034314,https://www.flickr.com/photos/sitcon/albums/72157645573034314,SITCON 2014,,,1810,,
72157639550333445,https://www.flickr.com/photos/sitcon/albums/72157639550333445,SITCON x OSSF 開源之道工作坊,,,255,,
72157633276957318,https://www.flickr.com/photos/sitcon/albums/72157633276957318,SITCON 2013,,,627,,
